index,metric
0,social_welfare_trend
1,social_cost_trend
2,total_driver_rewards_trend
3,total_driver_payoffs_trend
4,platform_profit_trend
5,total_orders_number_trend
6,serviced_orders_number_trend
7,accumulate_service_ratio_trend
8,empty_vehicle_ratio_trend
9,bidding_time_trend
10,running_time_trend
11,accumulate_service_distance_trend
12,accumulate_random_distance_trend
13,each_orders_wait_time_trend
14,each_orders_service_time_trend
15,each_orders_detour_ratio_trend
16,ach_vehicles_reward
17,each_vehicles_payoff
18,each_vehicles_finish_order_number
19,each_vehicles_service_distance
20,each_vehicles_random_distance
