fuel_consumption,seats
7.9,2
7.9,2
5.9,2
6.3,2
6.8,2
7.6,2
8.2,3
8.2,3
7.7,3
7.7,3
8.2,3
8.2,3
7,3
7,3
7,3
5.8,3
5.8,3
6.3,3
6.7,3
6.7,3
6.3,3
5.8,3
5.8,3
6.3,3
6.8,3
6.8,3
8.2,3
8.2,3
7.7,3
8.2,3
7.7,3
8.2,3
6.7,3
6.7,3
6.3,3
6.3,3
6.3,3
6.3,3
7.3,3
7.1,3
7.1,3
6.9,4
6.9,4
8.6,4
6.8,4
6.9,4
6.2,4
6.2,4
6.2,4
6.2,4
6.2,4
6.2,4
6.2,4
6.2,4
6.3,4
6.3,4
6.3,4
6.3,4
6.2,4
6.2,4
6.1,4
6.3,4
6.1,4
6.1,4
6.3,4
5.9,4
5.9,4
7.7,4
7,4
6.8,4
6.8,4
7.7,4
7,4
7.7,4
7,4
8.4,4
8.4,4
8.4,4
8.4,4
8,4
8.6,4
8.4,4
8.1,4
8.8,4
7.1,4
7.1,4
7.1,4
7.3,4
7.3,4
7,4
9.3,4
7,4
7,4
7,4
7,4
6.8,4
6.7,4
5.7,4
8.2,4
8,4
8,4
7.2,4
7.2,4
7.4,4
7.4,4
7,4
7.1,4
7,4
7.1,4
7.1,4
6.9,4
6.9,4
7.2,4
7.8,4
6.9,4
8.6,4
6.1,4
6.1,4
6.1,4
8.5,4
7.2,4
7.1,4
7.1,4
6.7,4
5.9,4
5.9,4
5.9,4
6,4
6,4
6.2,4
8.5,4
8.5,4
6.5,4
6.2,4
6.5,4
7.5,4
8.5,4
8.8,4
8.6,4
6.7,4
6.1,4
6.1,4
6.1,4
9.7,4
9.7,4
9.1,4
8.8,4
6.9,4
7,4
6.9,4
7,4
7.7,4
7.7,4
6.8,4
6.6,4
8.1,4
9.1,4
7.4,4
7.4,4
8.2,4
8.2,4
8.2,4
8.2,4
8.2,4
7.1,4
7.4,4
8.4,4
8.4,4
7.6,4
7.6,4
7.4,4
7.4,4
6.8,4
7.3,4
7.2,4
9.7,4
8.6,4
8.2,4
8.9,4
8.9,4
8.3,4
8.4,4
8,4
8,4
8,4
6.5,4
6.5,4
6.1,4
9.4,4
9.2,4
9.4,4
9.4,4
9.4,4
9.4,4
9.4,4
8.5,4
8.5,4
8.5,4
8.7,4
8.7,4
8.8,4
8.7,4
7.4,4
7.6,4
6.9,4
7,4
7.6,4
7.7,4
6.5,4
7.7,4
6.5,4
6,4
7.4,4
7.6,4
8.7,4
6.9,4
7,4
8.7,4
7.6,4
6.1,4
6.1,4
6,4
6,4
6,4
6,4
6.5,4
6.1,4
6.1,4
6,4
9.3,4
9.5,4
9.3,4
9.5,4
9.6,4
9.5,4
9.5,4
8.9,4
8.9,4
8.8,4
8.8,4
6.7,4
8.6,4
8.6,4
8.6,4
8.6,4
8.5,4
8,4
8,4
8.4,4
8,4
7.9,4
8.3,4
7.9,4
8,4
7.9,4
8.4,4
7.9,4
8,4
8.4,4
8.3,4
8,4
7.9,4
8.4,4
8.3,4
7.3,4
7.3,4
6.7,4
6.7,4
6.7,4
6.7,4
7,4
7,4
6.3,4
6.3,4
7,4
7,4
6.9,4
6.9,4
7.7,4
7.7,4
7,4
6.9,4
7.4,4
7.4,4
7.4,4
8.9,4
6.8,4
7,4
6.6,4
7,4
6.6,4
6.6,4
6.3,4
6.2,4
6.1,4
6,4
7,4
6.1,4
6,4
6.6,4
6.3,4
8.1,4
8.1,4
6.3,4
6.3,4
6.4,4
8.5,4
8.2,4
6.7,4
6.4,4
8.2,4
7,4
6.9,4
6.9,4
8.2,4
8.2,4
7.2,4
6.7,4
7.2,4
9.7,4
10.1,4
8.6,4
8.2,4
8.2,4
5.3,4
5.3,4
9.4,4
9.4,4
9.6,4
9.5,4
9.6,4
9.4,4
9.4,4
9.4,4
9.3,4
9.5,4
9.3,4
9.3,4
9.4,4
7.1,4
7.1,4
8.4,4
8.8,4
8.6,4
8.6,4
8.4,4
8.6,4
9.9,4
9.9,4
9.3,4
8.3,4
8.3,4
7.7,4
8.2,4
8.1,4
8.1,4
8.2,4
8.2,4
7.7,4
8,4
8.2,4
8.8,4
8.8,4
8.8,4
8.9,4
7.8,4
7.8,4
7.8,4
8.2,4
8.7,4
7.8,4
8.7,4
7.8,4
7.3,4
5.6,4
5.8,4
7.1,4
7.1,4
8.9,4
8.9,4
7.2,4
9.5,4
9.2,4
9.2,4
6.8,4
7.6,4
6.5,4
6.5,4
6.5,4
6.3,4
7.3,4
7.7,4
7.5,4
6.6,4
6.5,4
6.5,4
6.6,4
6.6,4
7.3,4
8,4
8,4
8,4
8,4
8,4
5.3,4
7.7,4
7.4,4
7.2,4
7.2,4
6.7,4
6.7,4
9.9,4
7.3,4
6.7,4
7.3,4
6.7,4
6.7,4
6.7,4
7,4
7,4
6.3,4
6.3,4
8,4
8,4
8,4
8,4
8.8,4
6.8,4
6.8,4
8.8,4
8.6,4
8.6,4
8.6,4
6.2,4
6.1,4
7.2,4
6.3,4
7.2,4
6.3,4
7.2,4
6,4
6.6,4
6.6,4
9.1,4
5.3,4
8.2,4
8.8,4
8.8,4
8.8,4
8.9,4
7.2,4
5.6,4
5.8,4
6.8,4
6.9,4
6.3,4
6.1,4
6.1,4
5.3,4
5.3,4
5.3,4
8.4,4
8.4,4
5.7,4
5.7,4
7.1,4
7.1,4
7.1,4
7.1,4
8.2,4
8.8,4
8.8,4
8.9,4
8.8,4
8.6,4
8.4,4
8.4,4
5.7,4
8.4,4
8.4,4
9,4
9.4,4
9.4,4
8.7,4
8.8,4
8.7,4
8.7,4
6.9,4
7,4
7.4,4
7.6,4
