车辆型号,生产企业,驱动型式,额定功率,变速器类型,发动机型号,车辆净重量,车辆最大重量,市郊油耗,市区油耗,综合油耗
SY5033XYP-D5S1BH9,华晨雷诺金杯汽车有限公司,后轮驱动,81,MT,V20,1750,2800,9.3,13.4,10.8
SY5038XBYL-G5S1BH9,华晨雷诺金杯汽车有限公司,后轮驱动,120,MT,3TZ,2055,3250,10.1,16.4,12.5
SY6470F4S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,87,MT,BM16LD,1485,2010,5.2,9,6.6
SY6470F4S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,87,MT,BM16LD,1520,2045,5.2,9,6.6
SY6470F7S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,110,MT,BM15TF,1530,2055,5.2,8.9,6.6
SY6470F7S1BC,华晨雷诺金杯汽车有限公司,前轮驱动,110,MT,BM15TF,1560,2085,5.2,8.9,6.6
SY6470F7SQ1BC,华晨雷诺金杯汽车有限公司,前轮驱动,110,MT,BM15TF,1595,2120,5.1,9.2,6.4
SY6521D4S1BG2,华晨雷诺金杯汽车有限公司,后轮驱动,78,MT,V19,1950,2800,7.6,12.6,9.6
SY6521D4S1BG3,华晨雷诺金杯汽车有限公司,后轮驱动,78,MT,V19,1950,2800,7.6,12.6,9.6
SY6521D4S1BG5,华晨雷诺金杯汽车有限公司,后轮驱动,78,MT,V19,1950,2800,7.6,12.6,9.6
SY5032XGCL-M1S1BG,华晨雷诺金杯汽车有限公司,后轮驱动,102,MT,4RB2,2000,2750,9.3,13.2,10.8
HQ7101,浙江豪情汽车制造有限公司,前轮驱动,52,MT,JL3G10,937,1312,5.3,7.3,6
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1390,1730,0.7,0.7,0.7
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1390,1730,0.7,0.7,0.7
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1470,1730,0.7,0.7,0.7
i3 1Z41,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1400,1730,0.7,0.7,0.7
i3 1Z81,德国宝马汽车集团,后轮驱动,31,AT,W20K06A,1430,1760,0.6,0.6,0.6
SC7083A4,重庆长安汽车股份有限公司,前轮驱动,38,MT,JL366Q,870,1245,5.1,6.9,5.7
SC7083A4B,重庆长安汽车股份有限公司,前轮驱动,38,MT,JL366Q,870,1245,5.1,6.9,5.7
SC7083A4,重庆长安汽车股份有限公司,前轮驱动,38,MT,JL366Q,890,1245,5.1,6.9,5.7
