time,passenger_count,trip_distance,tip_amount,total_amount,pick_up_index,drop_off_index
0.0,2.0,0.9,0.0,6.3,24.0,238.0
0.0,1.0,0.9,0.0,6.3,24.0,238.0
0.0,1.0,2.26,1.96,11.76,4245.0,4415.0
0.0,1.0,2.76,2.46,14.76,3586.0,1621.0
0.0,1.0,1.0,1.25,7.55,3123.0,193.0
0.0,1.0,0.5,1.15,6.95,2882.0,500.0
0.0,1.0,2.1,2.16,12.96,1293.0,3893.0
0.0,2.0,2.58,0.0,11.3,3121.0,1540.0
0.0,2.0,2.0,1.95,11.75,1636.0,4152.0
0.0,1.0,0.49,1.16,6.96,3919.0,1976.0
0.0,1.0,3.84,0.0,15.8,2932.0,3531.0
0.0,1.0,5.92,0.0,20.8,4314.0,2671.0
0.0,1.0,0.9,1.35,8.15,1098.0,2776.0
0.0,2.0,2.12,2.46,14.76,757.0,242.0
0.0,2.0,2.12,2.46,14.76,757.0,242.0
0.0,1.0,2.12,2.46,14.76,757.0,242.0
0.0,1.0,3.0,2.85,17.15,3040.0,1282.0
0.0,1.0,0.6,1.0,6.3,2056.0,1198.0
0.0,1.0,1.3,0.0,7.3,3726.0,3152.0
0.0,2.0,4.6,3.55,21.35,3152.0,3905.0
0.0,2.0,0.03,0.0,4.3,3189.0,3189.0
0.0,2.0,1.41,0.0,7.3,936.0,133.0
0.0,2.0,1.45,0.0,7.3,3436.0,2067.0
0.0,2.0,1.15,0.0,6.8,2752.0,2722.0
0.0,2.0,1.15,0.0,6.8,2752.0,2722.0
0.0,2.0,1.15,0.0,6.8,2752.0,2722.0
0.0,1.0,2.2,2.45,12.25,1025.0,1423.0
0.0,2.0,3.6,0.0,14.8,1885.0,3276.0
1.0,1.0,1.26,1.56,9.36,3882.0,794.0
1.0,1.0,0.6,0.0,6.3,1923.0,4423.0
1.0,1.0,0.97,0.0,5.8,2150.0,1778.0
1.0,1.0,2.2,0.0,12.3,2998.0,2023.0
1.0,1.0,2.3,1.96,11.76,244.0,3394.0
1.0,1.0,2.91,1.0,13.3,2479.0,2525.0
1.0,1.0,0.8,0.0,6.3,2903.0,2119.0
1.0,1.0,1.3,0.0,8.3,460.0,3832.0
1.0,1.0,1.9,2.15,12.95,1418.0,2465.0
1.0,1.0,2.8,0.0,12.3,258.0,1945.0
1.0,1.0,0.8,0.0,6.3,2903.0,2119.0
1.0,1.0,2.4,0.0,12.8,550.0,218.0
1.0,1.0,2.68,2.36,14.16,37.0,2473.0
1.0,2.0,1.07,2.19,9.49,2599.0,240.0
1.0,2.0,1.07,2.19,9.49,2599.0,240.0
1.0,2.0,1.07,2.19,9.49,2599.0,240.0
1.0,2.0,4.64,2.0,19.3,3327.0,956.0
1.0,1.0,2.55,0.0,12.3,2590.0,2768.0
1.0,1.0,5.9,0.0,20.8,2610.0,320.0
1.0,1.0,1.6,0.0,9.8,4456.0,4246.0
1.0,1.0,1.4,0.0,8.8,3240.0,246.0
1.0,1.0,1.2,0.0,8.3,1246.0,2907.0
1.0,1.0,4.5,3.35,20.15,1910.0,2474.0
2.0,2.0,2.07,0.0,11.8,1869.0,210.0
2.0,2.0,2.07,0.0,11.8,1869.0,210.0
2.0,1.0,2.07,0.0,11.8,1869.0,210.0
2.0,1.0,2.0,0.0,10.3,908.0,1836.0
2.0,1.0,0.8,1.25,7.55,3448.0,4125.0
2.0,1.0,3.8,3.06,18.36,3210.0,2547.0
2.0,1.0,3.19,2.86,17.16,3564.0,4014.0
2.0,2.0,2.3,1.5,12.3,2064.0,1238.0
2.0,2.0,2.3,1.5,12.3,2064.0,1238.0
2.0,1.0,2.3,1.5,12.3,2064.0,1238.0
2.0,2.0,1.1,0.0,6.8,3209.0,3350.0
2.0,2.0,1.7,1.0,10.8,2251.0,1663.0
2.0,1.0,1.7,0.0,9.8,3439.0,3491.0
2.0,2.0,2.64,0.0,11.3,1040.0,4256.0
2.0,2.0,2.64,0.0,11.3,1040.0,4256.0
2.0,2.0,2.64,0.0,11.3,1040.0,4256.0
2.0,1.0,2.2,2.15,12.95,3264.0,4275.0
2.0,1.0,0.5,0.0,5.8,2394.0,757.0
2.0,1.0,2.1,2.05,12.35,2279.0,3485.0
2.0,1.0,2.86,0.0,11.8,935.0,741.0
2.0,2.0,0.5,0.0,5.8,3369.0,2865.0
2.0,2.0,2.53,0.0,12.3,1689.0,232.0
2.0,1.0,1.29,0.0,9.3,4421.0,2813.0
2.0,1.0,3.8,0.0,14.3,3696.0,1423.0
2.0,1.0,0.7,0.0,5.3,228.0,4265.0
2.0,1.0,1.81,1.24,9.54,1583.0,981.0
2.0,1.0,1.6,0.0,8.8,3240.0,3276.0
2.0,2.0,8.95,6.86,41.16,2273.0,2271.0
2.0,2.0,1.37,1.86,11.16,570.0,230.0
2.0,2.0,1.37,1.86,11.16,570.0,230.0
2.0,1.0,1.37,1.86,11.16,570.0,230.0
2.0,1.0,7.0,2.5,25.3,1509.0,193.0
2.0,1.0,5.91,3.0,25.3,3269.0,2104.0
2.0,2.0,1.59,0.0,8.8,3240.0,3276.0
2.0,1.0,0.77,0.0,6.3,1345.0,2573.0
2.0,1.0,2.77,2.06,12.36,168.0,981.0
3.0,1.0,0.79,0.0,5.8,1052.0,3181.0
3.0,1.0,1.08,1.0,9.8,4402.0,4314.0
3.0,2.0,1.16,1.26,7.56,4417.0,1233.0
3.0,2.0,1.16,1.26,7.56,4417.0,1233.0
3.0,1.0,1.16,1.26,7.56,4417.0,1233.0
3.0,1.0,3.1,2.83,14.13,847.0,3268.0
3.0,2.0,3.66,0.0,14.8,3183.0,1906.0
3.0,2.0,3.66,0.0,14.8,3183.0,1906.0
3.0,1.0,3.66,0.0,14.8,3183.0,1906.0
3.0,1.0,1.8,1.95,11.75,53.0,588.0
3.0,1.0,1.34,0.0,7.8,630.0,991.0
3.0,2.0,3.9,2.86,17.16,2556.0,479.0
3.0,2.0,3.9,2.86,17.16,2556.0,479.0
3.0,2.0,3.9,2.86,17.16,2556.0,479.0
3.0,1.0,0.3,0.0,4.8,731.0,4418.0
3.0,1.0,4.02,3.26,19.56,3209.0,2077.0
3.0,2.0,4.7,0.0,17.8,3633.0,3131.0
3.0,2.0,4.7,0.0,17.8,3633.0,3131.0
3.0,1.0,3.0,2.0,15.3,2202.0,831.0
3.0,1.0,3.17,2.76,16.56,3180.0,2634.0
3.0,1.0,1.6,1.5,9.8,1357.0,1243.0
3.0,2.0,1.8,2.15,12.95,4372.0,1357.0
3.0,1.0,1.8,2.15,12.95,4372.0,1357.0
3.0,1.0,0.6,2.5,8.3,1283.0,3347.0
3.0,1.0,3.3,0.1,12.9,3174.0,481.0
3.0,1.0,1.39,0.0,9.8,3180.0,254.0
3.0,1.0,1.4,1.45,8.75,457.0,2119.0
3.0,1.0,1.0,1.36,8.16,8.0,3182.0
3.0,2.0,2.9,2.55,15.35,628.0,1190.0
3.0,1.0,1.7,0.0,10.3,20.0,244.0
3.0,1.0,1.9,2.15,12.95,233.0,770.0
3.0,2.0,0.85,1.0,7.3,1590.0,3180.0
3.0,1.0,1.8,2.06,12.36,1924.0,1171.0
3.0,1.0,0.4,1.0,6.3,1913.0,3526.0
3.0,1.0,3.2,1.0,15.8,3893.0,1920.0
3.0,1.0,3.63,0.0,15.3,1418.0,3130.0
3.0,1.0,1.05,0.0,7.8,3116.0,582.0
3.0,1.0,3.15,0.0,11.8,2626.0,908.0
3.0,2.0,2.37,2.16,12.96,3264.0,655.0
3.0,1.0,1.21,0.0,7.8,1216.0,2501.0
3.0,1.0,5.19,4.16,24.96,183.0,3006.0
4.0,1.0,1.6,0.0,8.8,3343.0,273.0
4.0,1.0,0.8,0.0,6.3,3249.0,1994.0
4.0,1.0,4.1,0.0,15.8,2776.0,1930.0
4.0,2.0,2.22,0.0,11.3,3406.0,1690.0
4.0,2.0,2.22,0.0,11.3,3406.0,1690.0
4.0,1.0,2.22,0.0,11.3,3406.0,1690.0
4.0,1.0,5.7,4.15,24.95,936.0,886.0
4.0,1.0,1.1,1.2,8.0,3327.0,340.0
4.0,1.0,1.32,1.46,8.76,37.0,3681.0
4.0,1.0,6.35,6.39,27.69,3090.0,296.0
4.0,1.0,0.7,1.45,7.25,1630.0,572.0
4.0,2.0,1.54,3.06,18.36,364.0,2909.0
4.0,2.0,1.54,3.06,18.36,364.0,2909.0
4.0,1.0,4.6,3.55,21.35,4299.0,272.0
4.0,2.0,1.78,2.06,12.36,423.0,4440.0
4.0,2.0,1.78,2.06,12.36,423.0,4440.0
4.0,1.0,1.78,2.06,12.36,423.0,4440.0
4.0,1.0,8.6,8.9,38.7,3450.0,3829.0
4.0,2.0,4.02,3.46,20.76,1886.0,495.0
4.0,1.0,4.02,3.46,20.76,1886.0,495.0
4.0,2.0,1.6,0.0,9.8,3940.0,2986.0
4.0,1.0,1.6,0.0,9.8,3940.0,2986.0
4.0,2.0,0.96,1.2,7.5,3276.0,1778.0
4.0,1.0,3.7,1.5,15.8,3364.0,3538.0
4.0,1.0,0.8,1.26,7.56,3123.0,4274.0
4.0,1.0,7.3,0.0,22.8,917.0,2814.0
4.0,1.0,2.67,2.46,14.76,574.0,1693.0
4.0,1.0,0.38,1.0,6.8,2277.0,3090.0
4.0,1.0,0.84,1.0,7.3,1125.0,581.0
4.0,1.0,2.2,0.0,10.8,1521.0,1590.0
5.0,1.0,4.1,5.0,20.8,2637.0,881.0
5.0,1.0,5.72,2.0,23.8,3429.0,3476.0
5.0,1.0,0.6,0.0,5.3,4353.0,4330.0
5.0,1.0,0.7,0.0,5.8,516.0,1834.0
5.0,1.0,0.81,1.26,7.56,3537.0,3559.0
5.0,2.0,1.45,0.0,8.3,718.0,78.0
5.0,1.0,1.45,0.0,8.3,718.0,78.0
5.0,1.0,1.04,1.0,8.3,1175.0,1585.0
5.0,1.0,1.5,0.0,8.8,3211.0,2625.0
5.0,1.0,1.24,0.0,7.3,3190.0,3229.0
5.0,1.0,1.29,0.0,8.8,3567.0,3586.0
5.0,2.0,0.9,1.56,9.36,676.0,3491.0
5.0,1.0,1.4,1.65,9.95,2128.0,481.0
5.0,2.0,2.0,0.0,11.3,794.0,2056.0
5.0,1.0,2.0,0.0,11.3,794.0,2056.0
5.0,1.0,2.6,2.25,13.55,364.0,718.0
5.0,1.0,1.78,2.16,12.96,2641.0,2070.0
5.0,1.0,3.25,0.0,13.8,2626.0,2025.0
5.0,1.0,0.84,0.0,6.3,2874.0,720.0
5.0,1.0,0.59,0.0,6.3,3200.0,2590.0
5.0,2.0,0.95,1.58,7.88,1922.0,850.0
5.0,1.0,3.62,3.06,18.36,3564.0,3802.0
5.0,1.0,1.19,0.0,8.3,3952.0,1666.0
5.0,2.0,2.4,2.55,15.35,388.0,1190.0
5.0,1.0,2.4,2.55,15.35,388.0,1190.0
5.0,1.0,1.9,1.95,11.75,1560.0,1386.0
5.0,1.0,2.1,1.0,10.3,2072.0,3043.0
5.0,1.0,0.62,0.0,5.3,1175.0,1296.0
5.0,2.0,1.53,1.5,10.3,217.0,2927.0
5.0,2.0,1.53,1.5,10.3,217.0,2927.0
5.0,1.0,1.53,1.5,10.3,217.0,2927.0
5.0,2.0,0.7,0.0,5.8,738.0,4216.0
5.0,1.0,2.63,0.0,11.3,0.0,1353.0
5.0,1.0,2.79,1.0,13.8,2024.0,749.0
5.0,1.0,2.1,1.0,11.8,2652.0,2424.0
5.0,1.0,1.74,0.0,8.3,1917.0,3991.0
6.0,2.0,3.86,1.0,15.3,2663.0,2178.0
6.0,1.0,3.86,1.0,15.3,2663.0,2178.0
6.0,1.0,7.08,0.0,22.8,2068.0,3408.0
6.0,1.0,7.52,5.16,30.96,10.0,1321.0
6.0,2.0,1.83,0.0,9.3,4471.0,3567.0
6.0,2.0,3.78,2.86,17.16,3210.0,4278.0
6.0,2.0,0.81,1.0,6.8,2070.0,497.0
6.0,1.0,0.3,0.95,5.75,3374.0,2315.0
6.0,1.0,1.34,2.08,10.38,1664.0,1099.0
6.0,1.0,0.5,0.0,5.3,2634.0,2623.0
6.0,1.0,2.3,0.0,10.3,2663.0,3007.0
6.0,1.0,0.98,1.46,8.76,2909.0,2999.0
6.0,1.0,1.2,1.35,8.15,2881.0,759.0
6.0,1.0,2.8,0.0,11.8,4258.0,4372.0
6.0,1.0,0.9,0.0,6.8,2070.0,3877.0
6.0,1.0,0.5,1.3,6.6,2508.0,1474.0
6.0,1.0,1.2,1.3,9.1,529.0,2436.0
6.0,2.0,0.49,0.0,5.8,3254.0,2626.0
6.0,1.0,0.39,1.08,5.38,1169.0,2900.0
6.0,1.0,1.6,0.0,9.8,4217.0,4032.0
6.0,1.0,1.8,0.0,9.8,2498.0,241.0
6.0,1.0,1.5,1.56,9.36,226.0,340.0
6.0,2.0,0.63,1.0,6.3,240.0,256.0
6.0,2.0,0.63,1.0,6.3,240.0,256.0
6.0,1.0,0.63,1.0,6.3,240.0,256.0
6.0,1.0,0.87,0.0,6.8,3479.0,3752.0
6.0,2.0,1.92,0.0,9.8,242.0,3448.0
6.0,2.0,1.34,1.66,9.96,1692.0,240.0
6.0,2.0,0.74,0.0,5.8,2400.0,3657.0
6.0,1.0,1.02,1.0,7.3,3164.0,962.0
6.0,1.0,0.76,0.0,5.8,3167.0,1539.0
6.0,1.0,3.6,2.75,16.55,2508.0,1540.0
6.0,1.0,1.0,1.35,8.15,1632.0,2776.0
6.0,1.0,2.46,0.0,11.8,3739.0,2348.0
6.0,1.0,1.74,0.0,7.8,387.0,3427.0
6.0,1.0,1.4,0.0,9.8,3183.0,1047.0
6.0,2.0,5.36,2.0,20.3,1625.0,190.0
6.0,2.0,5.36,2.0,20.3,1625.0,190.0
6.0,1.0,5.36,2.0,20.3,1625.0,190.0
6.0,1.0,1.95,1.66,9.96,732.0,1249.0
7.0,2.0,1.01,0.0,7.8,3586.0,3209.0
7.0,1.0,1.01,0.0,7.8,3586.0,3209.0
7.0,2.0,3.4,2.0,14.8,4455.0,3152.0
7.0,1.0,3.0,3.8,19.1,3317.0,3151.0
7.0,2.0,3.5,3.55,17.85,4374.0,2610.0
7.0,1.0,1.0,1.36,8.16,2405.0,2879.0
7.0,2.0,1.22,0.0,8.8,3742.0,4373.0
7.0,1.0,3.86,2.86,17.16,1693.0,2681.0
7.0,2.0,4.91,3.0,20.8,351.0,2707.0
7.0,1.0,3.0,3.26,19.56,2947.0,233.0
7.0,1.0,0.9,0.0,6.8,3783.0,953.0
7.0,1.0,4.09,3.26,19.56,715.0,3018.0
7.0,1.0,0.67,1.45,7.25,3224.0,240.0
7.0,2.0,1.95,1.0,11.8,2558.0,2909.0
7.0,1.0,1.4,2.05,10.35,871.0,982.0
7.0,1.0,0.8,0.0,6.3,2335.0,2503.0
7.0,1.0,1.7,1.75,10.55,3163.0,2579.0
7.0,1.0,4.03,3.26,19.56,847.0,1080.0
7.0,1.0,3.3,5.0,17.3,1869.0,1230.0
7.0,1.0,5.13,2.0,21.3,1389.0,2567.0
7.0,1.0,3.0,2.65,15.95,1415.0,3494.0
7.0,1.0,8.3,5.55,33.35,1124.0,2373.0
7.0,1.0,0.0,0.0,3.8,2332.0,2332.0
7.0,1.0,3.6,0.0,14.3,1070.0,4271.0
7.0,1.0,4.8,0.0,17.8,261.0,819.0
7.0,1.0,3.28,0.0,14.8,3070.0,241.0
7.0,2.0,5.8,4.05,24.35,183.0,3310.0
